Tiempo (s);Masa (kg);Cantidad de Cuerda (m);Altura (m);Posicion (m);Velocidad (m/s);Constante de Elasticidad (N/m);Constante del Aire;Gravedad (m/s2)
16.600.027;105.0;240;240.0;9.938.173;-10.724.541;200.0;19.075;9.81
16.700.027;105.0;240;240.0;8.859.591;-11.363.534;200.0;19.075;9.81
16.800.028;105.0;240;240.0;7.731.177;-11.779.103;200.0;19.075;9.81
16.900.028;105.0;240;240.0;6.574.893;-119.675.045;200.0;19.075;9.81
17.000.029;105.0;240;240.0;5.412.774;-11.929.305;200.0;19.075;9.81
17.100.029;105.0;240;240.0;4.266.617;-11.669.287;200.0;19.075;9.81
1.720.003;105.0;240;240.0;31.575.127;-11.196.275;200.0;19.075;9.81
1.730.003;105.0;240;240.0;21.054.986;-10.522.925;200.0;19.075;9.81
1.740.003;105.0;240;240.0;11.291.428;-966.538;200.0;19.075;9.81
1.750.003;105.0;240;240.0;0.2453146;-8.642.942;200.0;19.075;9.81
1.760.003;105.0;240;240.0;-0.5311527;-7.477.663;200.0;19.075;9.81
17.700.031;105.0;240;240.0;-11.877.236;-6.193.809;200.0;19.075;9.81
17.800.032;105.0;240;240.0;-17.142.935;-4.817.469;200.0;19.075;9.81
17.900.032;105.0;240;240.0;-2.103.373;-33.759.756;200.0;19.075;9.81
18.000.032;105.0;240;240.0;-23.501.687;-18.974.051;200.0;19.075;9.81
18.100.033;105.0;240;240.0;-245.264;-0.40996218;200.0;19.075;9.81
18.200.033;105.0;240;240.0;-24.114.614;10.584.313;200.0;19.075;9.81
18.300.034;105.0;240;240.0;-2.229.978;24.807.267;200.0;19.075;9.81
18.400.034;105.0;240;240.0;-19.140.997;3.831.205;200.0;19.075;9.81
18.500.034;105.0;240;240.0;-14.721.212;5.086.003;200.0;19.075;9.81
18.600.035;105.0;240;240.0;-0.91455317;6.223.414;200.0;19.075;9.81
18.700.035;105.0;240;240.0;-0.25387;72.243.285;200.0;19.075;9.81
18.800.035;105.0;240;240.0;0.49574375;8.072.517;200.0;19.075;9.81
18.900.036;105.0;240;240.0;13.187.287;8.754.927;200.0;19.075;9.81
19.000.036;105.0;240;240.0;21.984.093;9.261.788;200.0;19.075;9.81
19.100.037;105.0;240;240.0;31.173.472;9.586.795;200.0;19.075;9.81
19.200.037;105.0;240;240.0;4.057.722;9.727.156;200.0;19.075;9.81
19.300.037;105.0;240;240.0;50.015.974;9.683.567;200.0;19.075;9.81
19.400.038;105.0;240;240.0;59.313.035;9.460.139;200.0;19.075;9.81
19.500.038;105.0;240;240.0;6.829.743;9.064.277;200.0;19.075;9.81
19.600.039;105.0;240;240.0;76.807.427;8.506.443;200.0;19.075;9.81
19.700.039;105.0;240;240.0;8.469.269;77.999.578;200.0;19.075;9.81
1.980.004;105.0;240;240.0;9.181.736;69.606.667;200.0;19.075;9.81
1.990.004;105.0;240;240.0;980.621;60.066.204;200.0;19.075;9.81
2.000.004;105.0;240;240.0;10.332.641;49.576.483;200.0;19.075;9.81
2.010.004;105.0;240;240.0;1.075.296;38.350.334;200.0;19.075;9.81
2.020.004;105.0;240;240.0;11.061.229;26.610.503;200.0;19.075;9.81
20.300.041;105.0;240;240.0;112.537.155;14.584.886;200.0;19.075;9.81
20.400.042;105.0;240;240.0;11.328.905;0.25030696;200.0;19.075;9.81
20.500.042;105.0;240;240.0;112.874.975;-0.9408591;200.0;19.075;9.81
20.600.042;105.0;240;240.0;11.132.364;-20.930.808;200.0;19.075;9.81
20.700.043;105.0;240;240.0;10.868.433;-3.185.597;200.0;19.075;9.81
20.800.043;105.0;240;240.0;10.502.582;-41.990.857;200.0;19.075;9.81
20.900.043;105.0;240;240.0;10.043.465;-5.116.062;200.0;19.075;9.81
21.000.044;105.0;240;240.0;9.501.325;-5.921.142;200.0;19.075;9.81
21.100.044;105.0;240;240.0;8.887.753;-66.013.436;200.0;19.075;9.81
21.200.045;105.0;240;240.0;8.215.479;-7.146.205;200.0;19.075;9.81
21.300.045;105.0;240;240.0;7.498.099;-7.547.995;200.0;19.075;9.81
21.400.045;105.0;240;240.0;6.749.812;-78.017.826;200.0;19.075;9.81
21.500.046;105.0;240;240.0;59.851.103;-7.905.499;200.0;19.075;9.81
21.600.046;105.0;240;240.0;5.218.562;-78.598.986;200.0;19.075;9.81
21.700.047;105.0;240;240.0;4.464.508;-7.668.516;200.0;19.075;9.81
21.800.047;105.0;240;240.0;37.367.678;-73.375.306;200.0;19.075;9.81
21.900.047;105.0;240;240.0;30.484.543;-6.875.624;200.0;19.075;9.81
22.000.048;105.0;240;240.0;2.411.698;-62.937.627;200.0;19.075;9.81
22.100.048;105.0;240;240.0;18.374.586;-56.049.604;200.0;19.075;9.81
22.200.048;105.0;240;240.0;13.353.086;-4.823.969;200.0;19.075;9.81
22.300.049;105.0;240;240.0;0.9133282;-39.670.165;200.0;19.075;9.81
2.240.005;105.0;240;240.0;0.5779505;-30.514.503;200.0;19.075;9.81
2.250.005;105.0;240;240.0;0.33387852;-20.954.149;200.0;19.075;9.81
2.260.005;105.0;240;240.0;0.18401861;-11.174.412;200.0;19.075;9.81
2.270.005;105.0;240;240.0;0.12948132;-0.13617766;200.0;19.075;9.81
2.280.005;105.0;240;240.0;0.16957045;0.83000046;200.0;19.075;9.81
22.900.051;105.0;240;240.0;0.30184078;17.633.691;200.0;19.075;9.81
23.000.051;105.0;240;240.0;0.52217007;26.470.947;200.0;19.075;9.81
23.100.052;105.0;240;240.0;0.82486916;34.655.852;200.0;19.075;9.81
23.200.052;105.0;240;240.0;12.028.093;4.204.733;200.0;19.075;9.81
23.300.053;105.0;240;240.0;1.647.598;4.852.198;200.0;19.075;9.81
23.400.053;105.0;240;240.0;21.497.295;53.975.296;200.0;19.075;9.81
23.500.053;105.0;240;240.0;2.698.821;58.324.065;200.0;19.075;9.81
23.600.054;105.0;240;240.0;3.283.782;6.150.691;200.0;19.075;9.81
23.700.054;105.0;240;240.0;38.930.576;63.485.374;200.0;19.075;9.81
23.800.055;105.0;240;240.0;45.148.473;6.424.419;200.0;19.075;9.81
23.900.055;105.0;240;240.0;5.137.329;6.379.107;200.0;19.075;9.81
24.000.055;105.0;240;240.0;5.748.879;6.215.626;200.0;19.075;9.81
24.100.056;105.0;240;240.0;6.338.271;59.391.503;200.0;19.075;9.81
24.200.056;105.0;240;240.0;68.949.413;5.556.853;200.0;19.075;9.81
24.300.056;105.0;240;240.0;7.409.078;50.777.698;200.0;19.075;9.81
24.400.057;105.0;240;240.0;78.718.543;4.512.573;200.0;19.075;9.81
24.500.057;105.0;240;240.0;8.275.561;38.733.506;200.0;19.075;9.81
24.600.058;105.0;240;240.0;8.613.728;31.733.546;200.0;19.075;9.81
24.700.058;105.0;240;240.0;8.881.223;2.426.733;200.0;19.075;9.81
24.800.058;105.0;240;240.0;9.074.326;16.482.468;200.0;19.075;9.81
24.900.059;105.0;240;240.0;9.190.766;0.85301185;200.0;19.075;9.81
2.500.006;105.0;240;240.0;9.229.758;0.05611825;200.0;19.075;9.81
2.510.006;105.0;240;240.0;9.191.957;-0.72751933;200.0;19.075;9.81
2.520.006;105.0;240;240.0;9.079.449;-14.835.218;200.0;19.075;9.81
2.530.006;105.0;240;240.0;8.895.671;-21.982.849;200.0;19.075;9.81
